OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Ref_ID,X,Y,User_fld,Addr_type,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Name,Municipali,Address,Municipa_1,ZipCodes,x2,y2
90,DW_Addressing_,M,100,A,"360 E WATERFRONT DR, HOMESTEAD, PA, 15120", ,2840342,1367053.699,399737.9013,0,StreetAddress,360 East Waterfront Dr.,Homestead, ,15120,Target,Homestead,360 East Waterfront Dr.,Homestead,15120,592478.229,4473885.718
91,DW_Addressing_,M,89.04,A,"4004 MONROEVILLE BLVD, MONROEVILLE, PA, 15146", ,2954381,1405497.398,407443.0013,0,StreetAddress,4004 Monroeville Rd.,Monroeville, ,15146,Target,Monroeville,4004 Monroeville Rd.,Monroeville,15146,604098.7695,4476663.035
92,DW_Addressing_,M,93.35,A,"600 CHAUVET DR, NORTH FAYETTE, PA, 15275", ,2776154,1291264.001,414781.2998,0,StreetAddress,600 Chauvet Drive,Robinson, ,15275,Target,Robinson,600 Chauvet Drive,Robinson,15275,569230.9131,4477616.962
93,DW_Addressing_,M,97.1,A,"201 SOUTH HILLS VLG, BETHEL PARK, PA, 15241",L,91386,1326524.109,376074.9233,0,Address,201 South Hills Village,South Hills Village, ,15241,Target,South Hills Village,201 South Hills Village,Pittsburgh,15241,580401.6348,4466225.843
94,DW_Addressing_,M,96.08,A,"2200 WASHINGTON PIKE, SCOTT, PA, 15106", ,3148465,1315105.968,392476.1387,0,StreetAddress,2200 Washington Pike,Carnegie, ,15106,Wal Mart,Carnegie,2200 Washington Pike,Pittsburgh,15106,576740.9309,4471092.189
95,DW_Addressing_,M,95.75,A,"4015 FREEPORT RD, HARRISON, PA, 15065",L,91410,1424696.03,483980.9616,0,Address,4015 Freeport Road,Natrona Heights, ,15065,Wal Mart,Natrona Heights,4015 Freeport Road,Natrona Heights,15065,609086.4649,4500186.29
96,DW_Addressing_,M,100,A,"250 SUMMIT PARK DR, NORTH FAYETTE, PA, 15275", ,2774136,1293324.401,415075.5,0,StreetAddress,250 Summit Park Drive,North Fayette, ,15275,Wal Mart,North Fayette,250 Summit Park Drive,Pittsburgh,15275,569855.0125,4477729.647
97,DW_Addressing_,M,98.58,A,"100 WALMART DR, NORTH VERSAILLES, PA, 15137", ,3159029,1390728.79,390581.3448,0,StreetAddress,100 Wal Mart Drive,North Versailles, ,15137,Wal Mart,North Versailles,100 Wal Mart Drive,North Versailles,15137,599790.3803,4471362.719
98,DW_Addressing_,M,95.21,A,"2010 VILLAGE CENTER DR, FRAZER, PA, 15084", ,2890876,1397842.298,454987.0001,0,StreetAddress,2010 Village Center Drive,Tarentum, ,15084,Wal Mart,Tarentum,2010 Village Center Drive,Tarentum,15084,601234.3304,4491055.455
99,DW_Addressing_,M,100,A,"2351 CENTURY DR, WEST MIFFLIN, PA, 15122", ,3153451,1356258.029,375202.3297,0,StreetAddress,2351 Century Drive,West Mifflin, ,15122,Wal Mart,West Mifflin,2351 Century Drive,West Mifflin,15122,589465.7329,4466293.272
